Job Role,Skill,Weight
augmented reality (ar),spatial computing,11
augmented reality (ar),holography,11
augmented reality (ar),ar user experience,11
augmented reality (ar),wearable ar,11
augmented reality (ar),ar content creation,11
virtual reality (vr),vr development,11
virtual reality (vr),vr design,11
virtual reality (vr),oculus,11
virtual reality (vr),htc vive,11
virtual reality (vr),vr storytelling,11
virtual reality (vr),motion tracking,11
virtual reality (vr),vr simulations,11
virtual reality (vr),vr gaming,11
virtual reality (vr),vr training,11
virtual reality (vr),immersive environments,11
virtual reality (vr),vr accessibility,11
blockchain technology,smart contracts,11
blockchain technology,decentralized finance (defi),11
blockchain technology,ethereum,11
blockchain technology,solidity,11
blockchain technology,hyperledger,11
blockchain technology,blockchain security,11
blockchain technology,nfts,11
blockchain technology,distributed ledger,11
blockchain technology,web3,11
blockchain technology,tokenomics,11
blockchain technology,blockchain interoperability,11
product management,product lifecycle,11
product management,roadmapping,11
product management,user stories,11
product management,mvp development,11
product management,product-market fit,11
product management,go-to-market strategy,11
product management,a/b testing,11
product management,customer feedback,11
product management,cross-functional leadership,11
product management,product analytics,11
product management,agile product management,11
sustainability consulting,carbon management,10
sustainability consulting,esg frameworks,10
sustainability consulting,sustainability strategy,10
sustainability consulting,circular economy,10
sustainability consulting,green certifications,10
sustainability consulting,life cycle assessment,10
sustainability consulting,sustainable innovation,10
sustainability consulting,energy auditing,10
sustainability consulting,stakeholder engagement,10
sustainability consulting,net-zero planning,10
data governance,data privacy,11
data governance,data ethics,11
data governance,gdpr,11
data governance,ccpa,11
data governance,data quality,11
data governance,data stewardship,11
data governance,metadata management,11
data governance,data compliance,11
data governance,data lineage,11
data governance,data security policies,11
data governance,data cataloging,11
metaverse development,virtual worlds,11
metaverse development,3d modeling,11
metaverse development,spatial audio,11
metaverse development,avatar creation,11
metaverse development,metaverse platforms,11
metaverse development,decentraland,11
metaverse development,sandbox,11
metaverse development,interoperability,11
metaverse development,metaverse economy,11
metaverse development,social vr,11
metaverse development,mixed reality,11
e-commerce,online retail,11
e-commerce,shopify,11
e-commerce,woocommerce,11
e-commerce,magento,11
e-commerce,customer journey,11
e-commerce,conversion rate optimization,11
e-commerce,digital merchandising,11
e-commerce,payment gateways,11
e-commerce,dropshipping,11
e-commerce,omnichannel retail,11
e-commerce,personalized shopping,11
instructional design,learning experience design,10
instructional design,course development,10
instructional design,lms (learning management systems),10
instructional design,articulate storyline,10
instructional design,instructional technology,10
instructional design,microlearning,10
instructional design,scorm,10
instructional design,learner engagement,10
instructional design,accessibility in learning,10
instructional design,competency-based education,10
space technology,satellite systems,11
space technology,orbital mechanics,11
space technology,spacecraft design,11
space technology,propulsion systems,11
space technology,space exploration,11
space technology,remote sensing,11
space technology,space data analysis,11
space technology,astrobiology,11
space technology,space manufacturing,11
space technology,in-space assembly,11
space technology,space policy,11
agricultural technology (agtech),precision agriculture,11
agricultural technology (agtech),smart farming,11
agricultural technology (agtech),iot in agriculture,11
agricultural technology (agtech),crop monitoring,11
agricultural technology (agtech),drones,11
agricultural technology (agtech),agronomy,11
agricultural technology (agtech),hydroponics,11
agricultural technology (agtech),vertical farming,11
agricultural technology (agtech),genetic crop improvement,11
agricultural technology (agtech),farm management software,11
agricultural technology (agtech),sustainable agriculture,11
food science,food safety,11
food science,sensory analysis,11
food science,food chemistry,11
food science,product development,11
food science,nutrition science,11
food science,food microbiology,11
food science,food packaging,11
food science,sustainable food systems,11
food science,plant-based foods,11
food science,food regulations,11
food science,culinary innovation,11
aviation,flight operations,11
aviation,aircraft maintenance,11
aviation,avionics,11
aviation,aerospace engineering,11
aviation,air traffic control,11
aviation,drone piloting,11
aviation,aviation safety,11
aviation,flight simulation,11
aviation,sustainable aviation,11
aviation,urban air mobility,11
aviation,aircraft design,11
sports management,event management,11
sports management,athlete representation,11
sports management,sponsorship deals,11
sports management,sports marketing,11
sports management,fan engagement,11
sports management,sports analytics,11
sports management,facility management,11
sports management,esports,11
sports management,sports media,11
sports management,team operations,11
sports management,sports technology,11
hospitality management,guest experience,11
hospitality management,hotel operations,11
hospitality management,revenue management,11
hospitality management,event planning,11
hospitality management,food and beverage management,11
hospitality management,tourism,11
hospitality management,hospitality technology,11
hospitality management,sustainable hospitality,11
hospitality management,customer loyalty,11
hospitality management,front desk operations,11
hospitality management,travel tech,11
logistics technology,route optimization,10
logistics technology,fleet management,10
logistics technology,warehouse automation,10
logistics technology,last-mile delivery,10
logistics technology,supply chain visibility,10
logistics technology,logistics analytics,10
logistics technology,freight forwarding,10
logistics technology,robotics in logistics,10
logistics technology,digital freight platforms,10
logistics technology,reverse logistics,10
real estate technology (proptech),property management,11
real estate technology (proptech),smart buildings,11
real estate technology (proptech),real estate analytics,11
real estate technology (proptech),virtual tours,11
real estate technology (proptech),blockchain in real estate,11
real estate technology (proptech),iot for properties,11
real estate technology (proptech),lease management,11
real estate technology (proptech),digital twins,11
real estate technology (proptech),sustainable properties,11
real estate technology (proptech),tenant experience,11
real estate technology (proptech),market analysis,11
automotive engineering,electric vehicles (ev),11
automotive engineering,autonomous driving,11
automotive engineering,vehicle dynamics,11
automotive engineering,battery systems,11
automotive engineering,automotive software,11
automotive engineering,telematics,11
automotive engineering,car design,11
automotive engineering,lightweight materials,11
automotive engineering,vehicle safety,11
automotive engineering,connected vehicles,11
automotive engineering,v2x communication,11
ethical hacking,white-hat hacking,11
ethical hacking,bug bounty,11
ethical hacking,security auditing,11
ethical hacking,red teaming,11
ethical hacking,blue teaming,11
ethical hacking,social engineering,11
ethical hacking,malware analysis,11
ethical hacking,forensic analysis,11
ethical hacking,threat modeling,11
ethical hacking,secure code review,11
ethical hacking,cyber range,11
community management,online communities,11
community management,engagement strategies,11
community management,moderation,11
community management,social media management,11
community management,community analytics,11
community management,brand advocacy,11
community management,user-generated content,11
community management,discord,11
community management,community events,11
community management,crisis communication,11
community management,inclusive communities,11
